title,company_name,location,formatted_experience_level,normalized_salary,python,sql,excel,tableau,powerbi
Data Analyst,Tenazx Inc,"Queens, NY",,,True,True,True,False,False
eCommerce Data Analyst,Radiant Systems Inc,United States,,,False,False,True,False,False
Wealth Management Business Data Analyst,MCubeSoft,"Charlotte, NC",,,True,True,False,False,False
"Senior Data Analyst - AI Training (Remote, Contract)",Outlier,United States,Mid-Senior level,114400.0,False,True,True,False,False
Onsite Data Analyst || USC ONLY || FL LOCALS,USCTEK - Recruiting & Staffing,"Jacksonville, FL",,,False,True,False,False,True
Sr. Procurement Data Analyst,Republic Services,"Phoenix, AZ",,,False,True,True,False,False
Design Data Analyst,A.G. KUNZ LLC,"San Francisco, CA",,,False,False,False,False,False
Data Analyst - Expert with Excel,OpTech,"Auburn Hills, MI",Mid-Senior level,80080.0,False,False,True,False,False
Legal Data Analyst (Dallas/Chicago),CBRE,"Chicago, IL",Associate,,False,False,False,False,True
Crash Data Analyst,Maricopa County,"Phoenix, AZ",Entry level,,False,False,False,False,False
Data Analyst,Acro Service Corp,"Orlando, FL",Mid-Senior level,83200.0,False,True,True,True,False
Research Data Analyst 1 (75% FTE/Hybrid Opportunity),Stanford University,"Stanford, CA",Mid-Senior level,60555.0,True,False,False,False,False
Data Analyst (Korean),Lightcast,United States,Entry level,,True,True,True,False,False
Data Analyst (Chinese),Lightcast,United States,Entry level,,True,True,True,False,False
Data Analyst (Japanese),Lightcast,United States,Entry level,,True,True,True,False,False
Data Analyst-VA,ATC,"Virginia, United States",Entry level,,False,False,False,False,False
Data Analyst-WA,ATC,"Washington, United States",Entry level,,False,False,False,False,False
Data Analyst-IL,ATC,"Illinois, United States",Entry level,,False,False,False,False,False
Data Analyst-CA,ATC,"California, United States",Entry level,,False,False,False,False,False
Data Analyst-Tx,ATC,"Texas, United States",Entry level,,False,False,False,False,False
Data Analyst-NY,ATC,"New York, United States",Entry level,,False,False,False,False,False
Data Analyst/Data Science/NLP (Intern apr 30) DIN01,Data Glacier,United States,,,False,True,False,False,False
Data Analyst - Power BI & SQL,ZealTech,"San Francisco, CA",,,False,True,True,False,True
Data Analyst II,FedEx Logistics,"La Vergne, TN",,,False,True,True,False,False
"Retail Data Analyst | Hybrid - Aurora, IL",Old Second National Bank,"Aurora, IL",Associate,,False,True,True,False,False
AWS Data Analyst,InterEx Group,"Aurora, IL",Mid-Senior level,,False,True,False,False,False
Data analyst with marketing analytics exp. (1039812),The Judge Group,"San Francisco, CA",Entry level,110240.0,False,False,False,False,False
Data Analyst,Infocepts Inc,"Texas City, TX",,,True,True,True,True,True
Data Analyst,,"Etna, OH",,55000.0,True,True,True,True,True
Data Analyst-CA,ATC,"California, United States",Entry level,,False,False,False,False,False
Data Analyst-IL,ATC,"Illinois, United States",Entry level,,False,False,False,False,False
Data Analyst-VA,ATC,"Virginia, United States",Entry level,,False,False,False,False,False
Data Analyst-NY,ATC,"New York, United States",Entry level,,False,False,False,False,False
Data Analyst-Tx,ATC,"Texas, United States",Entry level,,False,False,False,False,False
Data Analyst-WA,ATC,"Washington, United States",Entry level,,False,False,False,False,False
Data Analyst,Insight Global,United States,Associate,,False,True,False,False,False
Data Analyst,Insight Global,United States,Associate,,False,True,False,False,False
Data Analyst,EPITEC,"Jacksonville, FL",Mid-Senior level,78000.0,False,True,True,False,False
Income and Withholding Tax Data Analyst,Minnesota Department of Revenue,"Minneapolis, MN",Associate,68328.0,False,True,True,False,False
Sales Data Analyst/Consultant,Athene,"West Des Moines, IA",Entry level,,False,False,False,False,False
Business Data Analyst – Foreign Exchange,Silicon Valley Bank,"Raleigh, NC",,,False,False,False,False,False
Office/Administration - Data Analyst Lv3 #: 24-02340,HireTalent - Diversity Staffing & Recruiting Firm,"Wayzata, MN",Mid-Senior level,,False,True,False,True,True
Domo Data Analyst (REMOTE),Talentify.io,United States,Entry level,100000.0,False,True,False,False,False
